RollNo,Y4
75797,50
75932,50
75937,50
75940,50
75941,50
75943,50
98104,50
98004,50
98041,50
98075,50
850312,50
97967,50
97992,50
97957,50
98087,50
98080,50
97956,50
850316,50
98094,50
98091,50
97952,50
850317,50
98040,50
97969,50
98039,50
97961,50
98086,50
850258,50
97982,50
97664,50
97665,50
97666,50
97667,50
97668,50
97672,50
97673,50
97691,50
97693,50
97695,50
97706,50
97716,50
97730,50
97771,50
97777,50
97779,50
97780,50
97781,50
97784,50
97789,50
97792,50
97793,50
97797,50
850354,50
850355,50
73315,50
73314,50
73309,50
73322,50
73320,50
73298,50
73313,50
73324,50
73308,50
73301,50
73300,50
73316,50
73291,50
73290,50
73299,50
73326,50
73323,50
73319,50
73325,50
73312,50
73311,50
73310,50
73292,50
73293,50
848749,50
848755,50
848758,50
848759,50
848750,50
848753,50
848751,50
848757,50
848752,50
848776,50
848780,50
848777,50
848789,50
848894,50
848767,50
848774,50
848772,50
848770,50
848892,50
848765,50
848791,50
848769,50
848766,50
848768,50
848771,50
848764,50
848803,50
848798,50
848804,50
848832,50
848825,50
848810,50
848824,50
848817,50
848809,50
848820,50
848801,50
848827,50
96086,50
95982,50
95990,50
95993,50
96036,50
95970,50
95985,50
96067,50
96073,50
96066,50
96077,50
96064,50
96070,50
96088,50
96090,50
95969,50
96092,50
96083,50
96097,50
96103,50
96104,50
96102,50
96119,50
96114,50
100496,50
100499,50
100500,50
100507,50
100513,50
100515,50
100517,50
100521,50
100522,50
100525,50
100526,50
100527,50
100528,50
100531,50
100532,50
100533,50
100535,50
100537,50
100543,50
100544,50
100549,50
100552,50
100554,50
100558,50
100571,50
100574,50
100577,50
100588,50
100593,50
100599,50
100601,50
100611,50
100629,50
100638,50
100753,50
100756,50
100757,50
100763,50
851358,50
851381,50
851424,50
851431,50
851410,50
851411,50
851412,50
851413,50
851414,50
851415,50
851416,50
851417,50
851419,50
851420,50
851422,50
851423,50
851425,50
851427,50
851428,50
851429,50
851433,50
851442,50
851443,50
851444,50
851445,50
851447,50
851448,50
851449,50
851465,50
851466,50
851467,50
851468,50
851469,50
851470,50
851471,50
851472,50
851473,50
851479,50
848754,50
848756,50
848760,50
848783,50
848761,50
848763,50
848787,50
848779,50
848781,50
848782,50
848793,50
848762,50
848785,50
848795,50
848773,50
848788,50
848786,50
848775,50
848792,50
848784,50
848826,50
848811,50
848796,50
848815,50
93215,50
93217,50
93220,50
93223,50
93225,50
93228,50
93229,50
93231,50
93232,50
93234,50
93238,50
93239,50
93241,50
93245,50
93246,50
93248,50
93249,50
93250,50
93251,50
93255,50
93257,50
93260,50
93261,50
93265,50
93266,50
93267,50
93269,50
93271,50
93272,50
93273,50
93274,50
93275,50
93280,50
93282,50
93284,50
93291,50
93340,50
93433,50
93658,50
94264,50
94128,50
94103,50
94106,50
94114,50
94280,50
94281,50
94322,50
94144,50
94156,50
94324,50
94332,50
94159,50
94311,50
94763,50
94738,50
94335,50
94540,50
94153,50
94323,50
94737,50
94341,50
94182,50
94170,50
94152,50
94298,50
94307,50
94331,50
94338,50
94172,50
94442,50
94347,50
94348,50
94352,50
94350,50
848814,50
848823,50
75290,50
75275,50
75262,50
75276,50
75291,50
75270,50
75302,50
75304,50
75257,50
75219,
75259,
75272,
75263,
75232,
75271,
75274,
75303,
75266,
75317,
75267,
75256,
75326,
75342,
75268,
75264,
75240,
75273,
75241,
75269,
75258,
