843588,61,61,71.7,61
843606,66,66,65.35,66
843615,64,64,72.02,64
843626,61,61,62.98,61
843627,60,60,62.2,60
843633,72,72,70.1,72
843635,60,60,65.44,60
843645,62,62,69.46,62
843651,61,61,68,61
843652,64,64,63.64,64
843653,73,73,74.2,73
843654,78,78,77.51,78
843656,72,72,64.7,72
843657,60,60,91.5,60
843658,61,61,67.7,61
843659,61,61,65.9,61
843660,65,65,82,65
843661,60,60,77.7,60
843666,62,62,79.3,62
843668,60,60,67.1,60
843670,61,61,72.4,61
843716,60,60,76.4,60
843720,60,60,64,60
843721,60,60,65.05,60
843725,62,62,72.4,62
843729,61,61,67.9,61
843757,61,61,69.7,61
843771,86,86,88.7,86
843773,62,62,60,62
843781,60,60,69.8,60
843782,61,61,67.13,61
843786,65,65,75.4,65
843791,63,63,76.2,63
843798,71,71,67.4,71
843800,60,60,79.1,60
843521,83,92,73.7,70
843599,67,70,71.6,80
843672,82,61,75,70
843700,85,93,79.29,66
843737,82,64,77.86,72
843742,73,60,75.2,60
843743,82,83,76.17,73
843747,83,62,77.06,61
843750,80,61,70.97,82
843758,85,81,78.6,82
843776,83,60,78,61
843777,81,60,77,60
843778,77,85,82.5,67
843779,84,87,67.16,75
843790,84,64,71.8,61
843815,82,87,73.19,65
843820,80,81,76,70
843822,73,64,72,63
843825,86,71,76.27,70
843834,83,87,82.33,60
843835,84,70,75.27,60
843846,79,63,74.8,60
843847,83,66,75.68,63
843848,85,67,76.22,64
843866,80,77,75.04,61
843867,86,82,76.06,73
843878,82,60,76.9,60
843883,78,63,71,60
843889,89,92,85,74
843891,76,82,62.38,60
843907,85,83,72.4,65
843916,82,82,77.51,62
843917,61,63,69.67,71
843919,63,64,76,61
842497,76,77,64.62,72
842534,70,80,69.56,72
842556,61,74,67.08,67
842562,60,70,71.43,60
842564,67,73,77.9,71
842574,63,80,65.77,62
842607,61,77,66.14,67
842673,71,77,68,62
842705,72,84,63.1,70
842706,71,76,64.54,70
842738,70,81,60.74,70
